Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
MO,81134,Acanthaceae,Ruellia potamophila,1,Acanthaceae Ruellia potamophila,Ruellia potamophila,1,Leonard,http://www.tropicos.org/Name/50133974,,,No opinion,Ruellia,1,potamophila,,,,,,Yes,,Colombia Ecuador
MO,88831,Acanthaceae,Staurogyne minarum,2,Acanthaceae Staurogyne minarum,Staurogyne minarum,1,Nees,http://www.tropicos.org/Name/101090 ,,,Accepted,Staurogyne,1,minarum,,,,,,Yes,,brazil
MO,1301,Actinidiaceae,Actinidia polygama,1,Actinidiaceae Actinidia polygama,Actinidia polygama,1,(Siebold & Zucc.) Maxim.,http://www.tropicos.org/Name/500157 ,,,Accepted,Actinidia,1,polygama,,,,Yes,,,,from china
MO,97108,Adoxaceae,Viburnum pubescens,1,Adoxaceae Viburnum pubescens,Viburnum pubescens,1,(Aiton) Pursh,http://www.tropicos.org/Name/6000571 ,,,Accepted,Viburnum,1,pubescens,,,,,,,yes,"apparently accepted by FNA, but USDA see it as a synonym of V. dentatum"
MO,69092,Amaranthaceae,Pfaffia rotundifolia,1,Amaranthaceae Pfaffia rotundifolia,Pfaffia rotundifolia,1,Pedersen,http://www.tropicos.org/Name/50296960 ,,,Accepted,Pfaffia,1,rotundifolia,,,,,,yes,,endemic to Santa Cruz Bolivia
MO,4639,Annonaceae,Annona billbergiana,1,Annonaceae Annona billbergiana,Annona billbergiana,1,R.E. Fr.,http://www.tropicos.org/Name/50303021 ,,,No opinion,Annona,1,billbergiana,,,,,,Yes,,endemic to panama
MO,41028,Annonaceae,Guatteriopsis ramiflora,1,Annonaceae Guatteriopsis ramiflora,Guatteriopsis ramiflora,1,D.R. Simpson,http://www.tropicos.org/Name/1600363 ,,,Accepted,Guatteriopsis,1,ramiflora,,,,,,Yes,,endemic to peru
MO,34610,Apiaceae,Eryngium intermedium,1,Apiaceae Eryngium intermedium,Eryngium intermedium,1,Weinm.,http://www.tropicos.org/Name/100334154 ,,,No opinion,Eryngium,1,intermedium,,yes,,,,,,a synonym of E. planum
MO,26205,Apocynaceae,Cynanchum jaramilloi,1,Apocynaceae Cynanchum jaramilloi,Cynanchum jaramilloi,1,Morillo,http://www.tropicos.org/Name/50079509 ,,,Accepted,Cynanchum,1,jaramilloi,,,,,,yes,,endemic to ecuador
MO,29995,Apocynaceae,Ditassa oliva-estevae,3,Apocynaceae Ditassa oliva-estevae,Ditassa oliva-estevae,1,Morillo,http://www.tropicos.org/Name/2610445,,,Accepted,Ditassa,1,oliva-estevae,,,,,,yes,,endemic to venezuela
MO,54100,Apocynaceae,Mandevilla papillosa,1,Apocynaceae Mandevilla papillosa,Mandevilla papillosa,1,J.F. Morales,http://www.tropicos.org/Name/50238136,,,No opinion,Mandevilla,1,papillosa,yes,,,,,no,,"unpublished name, has no status"
MO,54787,Apocynaceae,Marsdenia heringeri,1,Apocynaceae Marsdenia heringeri,Marsdenia heringeri,1,Fontella,http://www.tropicos.org/Name/50172406,,,Accepted,Marsdenia,1,heringeri,,,,,,yes,,endemic to brazil
MO,54822,Apocynaceae,Marsdenia spiralis,3,Apocynaceae Marsdenia spiralis,Marsdenia spiralis,1,W. Rothe,http://www.tropicos.org/Name/2607393,,,Accepted,Marsdenia,1,spiralis,,,,,yes,yes,yes,Bolivia paraguay
MO,45643,Aquifoliaceae,Ilex holstii,3,Aquifoliaceae Ilex holstii,Ilex holstii,1,Steyerm.,http://www.tropicos.org/Name/2000285,,,Accepted,Ilex,1,holstii,,,,,,yes,,Venezuela
MO,45666,Aquifoliaceae,Ilex longipilosa,2,Aquifoliaceae Ilex longipilosa,Ilex longipilosa,1,Steyerm.,http://www.tropicos.org/Name/2000288,,,Accepted,Ilex,1,longipilosa,,,,,,yes,,Venezuela
MO,45683,Aquifoliaceae,Ilex mexicana,3,Aquifoliaceae Ilex mexicana,Ilex mexicana,1,(Turcz.) Black ex Hemsl.,http://www.tropicos.org/Name/50142116,,,Accepted,Ilex,1,mexicana,,,,,,Yes,,mexico
MO,4930,Araceae,Anthurium albispatha,1,Araceae Anthurium albispatha,Anthurium albispatha,1,Sodiro,http://www.tropicos.org/Name/2100975,,,Accepted,Anthurium,1,albispatha,,,,,,Yes,,endemic ecuador
MO,5000,Araceae,Anthurium bicolor,1,Araceae Anthurium bicolor,Anthurium bicolor,1,Crousse,http://www.tropicos.org/Name/50089081,,,No opinion,Anthurium,1,bicolor,,,,,,,yes,not published no status
MO,5010,Araceae,Anthurium boudetii,1,Araceae Anthurium boudetii,Anthurium boudetii,1,Nadruz,http://www.tropicos.org/Name/50309662 ,,,Accepted,Anthurium,1,boudetii,,,,,,Yes,,brazil
MO,5039,Araceae,Anthurium caphuariense,1,Araceae Anthurium caphuariense,Anthurium caphuariense,1,Croat,http://www.tropicos.org/Name/50254216 ,,,No opinion,Anthurium,1,caphuariense,,,,,,,yes,not published no status
MO,5339,Araceae,Anthurium lanjouwii,1,Araceae Anthurium lanjouwii,Anthurium lanjouwii,1,A.M.E. Jonker & Jonker,http://www.tropicos.org/Name/2104829 ,,,Accepted,Anthurium,1,lanjouwii,,,,,yes,Yes,,surinam & french guiana
MO,59453,Araceae,Monstera coclensis,2,Araceae Monstera coclensis,Monstera coclensis,1,Croat,http://www.tropicos.org/Name/50292503 ,,,No opinion,Monstera,1,coclensis,,,,,,,yes,not published no status
MO,79444,Araceae,Rhodospatha bolivarana,1,Araceae Rhodospatha bolivarana,Rhodospatha bolivarana,1,G.S. Bunting,http://www.tropicos.org/Name/2105753 ,,,Accepted,Rhodospatha,1,bolivarana,,,,,,Yes,,Venezuela
MO,44526,Araliaceae,Hydrocotyle hirta,1,Araliaceae Hydrocotyle hirta,Hydrocotyle hirta,1,R. Br. ex A. Rich.,http://www.tropicos.org/Name/1701930 ,,,Accepted,Hydrocotyle,1,hirta,,,,,,,yes,"records also from africa, uncertain what that means"
MO,82944,Araliaceae,Schefflera discolor,1,Araliaceae Schefflera discolor,Schefflera discolor,1,Merr.,http://www.tropicos.org/Name/2200906 ,,,Accepted,Schefflera,1,discolor,,,,,,,yes,in venezuela & china
