Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,19192,Pteridaceae,Cheilanthes palmeri,3,Pteridaceae Cheilanthes palmeri,Cheilanthes palmeri,1,D.C. Eaton,http://www.tropicos.org/Name/26626165 ,,,No opinion,Cheilanthes,1,palmeri,,R,,,,Y,,synonym for Cheilanthes aurea var. palmeri
d,3430,Alstroemeriaceae,Alstroemeria caryophyllaea,3,Alstroemeriaceae Alstroemeria caryophyllaea,Alstroemeria caryophyllaea,1,Jacq.,http://www.tropicos.org/Name/1201819 ,,,Accepted,Alstroemeria,1,caryophyllaea,,,,,,Y,,cultivated
d,74235,Amaryllidaceae,Polianthes bicolor,1,Amaryllidaceae Polianthes bicolor,Polianthes bicolor,1,E. Solano & Garc’a-Mend.,http://www.tropicos.org/Name/50158404 ,,,Accepted,Polianthes,1,bicolor,,,,,,Y,,
d,99244,Amaryllidaceae,Zephyranthes xiphopetala,1,Amaryllidaceae Zephyranthes xiphopetala,Zephyranthes xiphopetala,1,Baker,http://www.tropicos.org/Name/50008067 ,,,Accepted,Zephyranthes,1,xiphopetala,,,,,,Y,,
d,44592,Amblystegiaceae,Hygroamblystegium macroneuron,1,Amblystegiaceae Hygroamblystegium macroneuron,Hygroamblystegium macroneuron,1,Grout,http://www.tropicos.org/Name/35164244 ,,,Accepted,Hygroamblystegium,1,macroneuron,,Y,,,,Y,,"Known only from Edwards Plateau, TX"
d,4360,Anemiaceae,Anemia spicantoides,3,Anemiaceae Anemia spicantoides,Anemia spicantoides,1,Mabb.,http://www.tropicos.org/Name/26616253 ,,,Accepted,Anemia,1,spicantoides,,,,,,Y,,
d,7093,Aristolochiaceae,Aristolochia sylvicola,2,Aristolochiaceae Aristolochia sylvicola,Aristolochia sylvicola,1,Standl.,http://www.tropicos.org/Name/2500234 ,,,No opinion,Aristolochia,1,sylvicola,,,,,,Y,,
d,42816,Asparagaceae,Hemiphylacus mahindae,1,Asparagaceae Hemiphylacus mahindae,Hemiphylacus mahindae,1,L. Hern.,http://www.tropicos.org/Name/50058952,,,Accepted,Hemiphylacus,1,mahindae,,,,,,Y,,
d,30522,Boraginaceae,Draperia systyla,2,Boraginaceae Draperia systyla,Draperia systyla,1,(A. Gray) Torr.,http://www.tropicos.org/Name/16200056,,,Accepted,Draperia,1,systyla,,,,,,Y,,
d,42756,Boraginaceae,Heliotropium stenophyllum,2,Boraginaceae Heliotropium stenophyllum,Heliotropium stenophyllum,1,Hook. & Arn.,http://www.tropicos.org/Name/4001557 ,,,Accepted,Heliotropium,1,stenophyllum,,,,,,Y,,
d,69162,Boraginaceae,Phacelia inconspicua,3,Boraginaceae Phacelia inconspicua,Phacelia inconspicua,1,Greene,http://www.tropicos.org/Name/16200172 ,,,Accepted,Phacelia,1,inconspicua,,,,,,Y,,
d,13640,Burseraceae,Bursera bolivarii,3,Burseraceae Bursera bolivarii,Bursera bolivarii,1,Rzed.,http://www.tropicos.org/Name/4700006 ,,,Accepted,Bursera,1,bolivarii,,,,,,Y,,
d,63435,Cactaceae,Opuntia molesta,2,Cactaceae Opuntia molesta,Opuntia molesta,1,Brandegee,http://www.tropicos.org/Name/5106775 ,,,Accepted,Opuntia,1,molesta,,,,,,Y,,
d,92554,Cactaceae,Thelocactus leucacanthus,2,Cactaceae Thelocactus leucacanthus,Thelocactus leucacanthus,1,(Zucc. ex Pfeiff.) Britton & Rose,http://www.tropicos.org/Name/50181388 ,,,Accepted,Thelocactus,1,leucacanthus,,,,,,Y,,
d,94602,Cactaceae,Trichocereus arboricola,1,Cactaceae Trichocereus arboricola,Trichocereus arboricola,1,Kimnach,http://www.tropicos.org/Name/5105795 ,,,Accepted,Trichocereus,1,arboricola,,,,,,Y,,
d,19699,Chonecoleaceae,Chonecolea andina,2,Chonecoleaceae Chonecolea andina,Chonecolea andina,1,Grolle & V‡öa,http://www.tropicos.org/Name/35203324 ,,,Accepted,Chonecolea,1,andina,,,,,,Y,,
d,23545,Chrysobalanaceae,Couepia glabra,2,Chrysobalanaceae Couepia glabra,Couepia glabra,1,Prance,http://www.tropicos.org/Name/50105694 ,,,Accepted,Couepia,1,glabra,,,,,,Y,,
d,50600,Chrysobalanaceae,Licania minuscula,2,Chrysobalanaceae Licania minuscula,Licania minuscula,1,Cuatrec.,http://www.tropicos.org/Name/7400682 ,,,No opinion,Licania,1,minuscula,,,,,,Y,,
d,83653,Cyperaceae,Scleria balansae,1,Cyperaceae Scleria balansae,Scleria balansae,1,Maury,http://www.tropicos.org/Name/9909243 ,,,Accepted,Scleria,1,balansae,,,,,,Y,,
d,29122,Dioscoreaceae,Dioscorea cyphocarpa,2,Dioscoreaceae Dioscorea cyphocarpa,Dioscorea cyphocarpa,1,Robinson ex Knuth,http://www.tropicos.org/Name/11000551 ,,,Accepted,Dioscorea,1,cyphocarpa,,,,,,Y,,
d,68825,Dipentodontaceae,Perrottetia lanceolata,1,Dipentodontaceae Perrottetia lanceolata,Perrottetia lanceolata,1,H. Karst.,http://www.tropicos.org/Name/6600858 ,,,Accepted,Perrottetia,1,lanceolata,,,,,,Y,,
d,31864,Dryopteridaceae,Elaphoglossum minutissimum,3,Dryopteridaceae Elaphoglossum minutissimum,Elaphoglossum minutissimum,1,R.C. Moran & Mickel,http://www.tropicos.org/Name/50295801 ,,,No opinion,Elaphoglossum,1,minutissimum,,,,,,Y,,
d,31960,Dryopteridaceae,Elaphoglossum ramosissimum,2,Dryopteridaceae Elaphoglossum ramosissimum,Elaphoglossum ramosissimum,1,(FŽe) T. Moore,http://www.tropicos.org/Name/50041987 ,,,Accepted,Elaphoglossum,1,ramosissimum,,,,,,Y,,
d,74270,Dryopteridaceae,Polybotrya botryoides,1,Dryopteridaceae Polybotrya botryoides,Polybotrya botryoides,1,(Baker) C. Chr.,http://www.tropicos.org/Name/26609312 ,,,Accepted,Polybotrya,1,botryoides,,,,,,Y,,
d,2232,Ericaceae,Agarista uleana,3,Ericaceae Agarista uleana,Agarista uleana,1,(Sleumer) Judd,http://www.tropicos.org/Name/50065745 ,,,Accepted,Agarista,1,uleana,,,,,,Y,,
d,17517,Ericaceae,Cavendishia glandulosa,1,Ericaceae Cavendishia glandulosa,Cavendishia glandulosa,1,A.C. Sm.,http://www.tropicos.org/Name/50100735 ,,,Accepted,Cavendishia,1,glandulosa,,,,,,Y,,
d,38904,Ericaceae,Gaylussacia jordanensis,2,Ericaceae Gaylussacia jordanensis,Gaylussacia jordanensis,1,Sleumer,http://www.tropicos.org/Name/50172927 ,,,Accepted,Gaylussacia,1,jordanensis,,,,,,Y,,
d,1577,Fabaceae,Adesmia trifoliolata,1,Fabaceae Adesmia trifoliolata,Adesmia trifoliolata,1,Gillies ex Hook. & Arn.,http://www.tropicos.org/Name/13007500 ,,,Accepted,Adesmia,1,trifoliolata,,,,,,Y,,
d,2093,Fabaceae,Aeschynomene pluriarticulata,2,Fabaceae Aeschynomene pluriarticulata,Aeschynomene pluriarticulata,1,G. Don,http://www.tropicos.org/Name/13024945 ,,,Accepted,Aeschynomene,1,pluriarticulata,,,,,,Y,,
