"obs_num","spp_num"
"1",4386
"2",1883
"3",1061
"4",740
"5",582
"6",445
"7",372
"8",307
"9",254
"10",229
"11",193
"12",169
"13",160
"14",148
"15",132
"16",101
"17",119
"18",86
"19",110
"20",91
"21",79
"22",92
"23",84
"24",61
"25",88
"26",60
"27",64
"28",43
"29",54
"30",63
"31",47
"32",51
"33",34
"34",40
"35",53
"36",41
"37",35
"38",40
"39",50
"40",39
"41",30
"42",49
"43",30
"44",28
"45",38
"46",32
"47",34
"48",32
"49",23
"50",25
"51",29
"52",27
"53",30
"54",32
"55",32
"56",16
"57",20
"58",18
"59",19
"60",17
"61",11
"62",18
"63",15
"64",18
"65",17
"66",20
"67",14
"68",18
"69",11
"70",17
"71",13
"72",15
"73",16
"74",14
"75",11
"76",15
"77",14
"78",14
"79",17
"80",14
"81",10
"82",11
"83",20
"84",8
"85",9
"86",9
"87",12
"88",15
"89",9
"90",7
"91",11
"92",12
"93",9
"94",10
"95",15
"96",10
"97",15
"98",10
"99",8
"100",10
"101",17
"102",12
"103",13
"104",13
"105",8
"106",5
"107",8
"108",9
"109",13
"110",6
"111",11
"112",7
"113",5
"114",9
"115",4
"116",5
"117",6
"118",7
"119",10
"120",7
"121",7
"122",4
"123",5
"124",11
"125",4
"126",6
"127",13
"128",4
"129",7
"130",10
"131",5
"132",5
"133",5
"134",9
"135",11
"136",7
"137",6
"138",7
"139",3
"140",7
"141",4
"142",4
"143",16
"144",5
"145",1
"146",5
"147",7
"148",11
"149",6
"150",4
"151",4
"152",9
"153",4
"154",4
"155",4
"156",7
"157",6
"158",3
"159",4
"160",1
"161",8
"162",5
"163",5
"164",5
"165",5
"166",9
"167",2
"168",6
"169",5
"170",10
"171",5
"172",2
"173",6
"175",3
"176",3
"177",4
"178",3
"179",4
"180",7
"181",5
"182",5
"183",4
"184",8
"185",1
"186",3
"187",6
"188",1
"189",7
"190",4
"191",5
"192",3
"193",6
"194",5
"195",4
"196",2
"197",1
"198",3
"199",2
"200",7
"201",5
"202",2
"203",2
"204",2
"205",3
"206",3
"207",8
"208",1
"209",11
"210",6
"211",1
"212",2
"213",3
"214",4
"216",1
"217",6
"218",5
"219",1
"220",2
"221",3
"222",5
"223",3
"224",2
"225",2
"226",2
"227",2
"229",3
"230",3
"231",2
"232",2
"233",1
"234",5
"235",1
"237",2
"238",3
"239",1
"240",5
"241",4
"242",2
"243",1
"244",6
"245",3
"246",2
"247",4
"248",1
"249",1
"250",5
"251",1
"252",2
"254",4
"255",2
"256",2
"257",4
"258",2
"259",4
"260",3
"261",3
"262",4
"263",4
"265",2
"266",7
"267",2
"268",1
"269",2
"270",4
"272",2
"273",4
"274",2
"275",3
"276",2
"278",2
"279",5
"280",2
"281",3
"282",4
"283",4
"284",3
"285",1
"286",1
"287",4
"288",3
"289",3
"290",3
"291",1
"292",1
"293",2
"294",3
"296",1
"297",4
"300",3
"301",2
"302",1
"304",2
"307",1
"308",1
"309",1
"310",3
"311",2
"312",1
"313",1
"315",2
"316",2
"317",3
"318",2
"320",6
"324",2
"326",1
"327",2
"328",2
"329",1
"330",2
"334",2
"335",2
"337",1
"338",3
"339",1
"340",2
"341",1
"344",2
"345",7
"346",1
"348",1
"352",3
"353",4
"354",2
"355",1
"357",2
"358",2
"359",3
"360",2
"361",1
"362",2
"364",1
"365",1
"366",3
"368",2
"369",1
"371",2
"372",1
"374",1
"375",1
"376",1
"378",1
"379",2
"380",1
"381",4
"384",1
"385",2
"386",1
"389",1
"390",2
"391",1
"392",1
"393",2
"394",1
"398",1
"400",1
"402",2
"405",2
"408",2
"410",3
"414",2
"415",2
"417",1
"420",1
"421",2
"422",2
"424",1
"425",2
"426",2
"427",1
"430",1
"431",1
"434",1
"437",2
"438",1
"439",3
"442",1
"443",2
"446",3
"448",2
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",1
"457",1
"458",2
"461",1
"464",2
"466",1
"467",1
"469",1
"470",1
"473",2
"475",1
"476",1
"477",1
"479",1
"482",2
"484",4
"485",1
"487",1
"488",2
"489",2
"492",2
"494",2
"496",1
"498",2
"500",2
"501",1
"503",1
"508",2
"509",1
"510",1
"513",1
"514",1
"517",1
"519",1
"520",1
"522",1
"523",1
"524",1
"526",1
"530",3
"534",1
"536",1
"538",2
"542",3
"543",1
"544",1
"545",2
"546",1
"547",1
"549",1
"550",1
"551",1
"553",1
"555",1
"556",2
"559",1
"563",1
"564",2
"566",1
"567",2
"571",1
"576",1
"578",2
"579",1
"581",1
"586",1
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"596",1
"600",2
"601",1
"604",1
"605",2
"613",1
"616",1
"617",1
"620",1
"625",2
"626",1
"627",1
"630",1
"631",1
"632",2
"633",1
"637",1
"639",1
"650",1
"651",1
"652",2
"657",2
"659",1
"661",1
"663",1
"670",1
"673",1
"674",1
"675",1
"682",1
"687",1
"689",1
"692",1
"698",3
"702",1
"703",2
"706",1
"709",1
"721",1
"722",1
"733",1
"738",1
"742",2
