"obs_num","spp_num"
"1",59260
"2",37778
"3",26136
"4",19686
"5",15695
"6",13165
"7",11210
"8",9708
"9",8440
"10",7629
"11",6923
"12",6291
"13",5568
"14",5179
"15",5014
"16",4523
"17",4228
"18",3909
"19",3748
"20",3473
"21",3329
"22",3259
"23",2996
"24",2887
"25",2784
"26",2673
"27",2598
"28",2409
"29",2331
"30",2217
"31",2199
"32",2095
"33",2010
"34",1966
"35",1901
"36",1776
"37",1799
"38",1764
"39",1687
"40",1658
"41",1628
"42",1492
"43",1504
"44",1442
"45",1358
"46",1296
"47",1298
"48",1341
"49",1333
"50",1257
"51",1251
"52",1191
"53",1160
"54",1156
"55",1081
"56",1099
"57",1108
"58",1074
"59",1021
"60",979
"61",908
"62",923
"63",898
"64",899
"65",879
"66",881
"67",865
"68",846
"69",862
"70",788
"71",767
"72",760
"73",766
"74",812
"75",782
"76",725
"77",705
"78",734
"79",697
"80",701
"81",658
"82",673
"83",646
"84",629
"85",643
"86",646
"87",634
"88",607
"89",597
"90",577
"91",533
"92",551
"93",551
"94",532
"95",501
"96",558
"97",506
"98",537
"99",479
"100",508
"101",510
"102",450
"103",497
"104",473
"105",467
"106",485
"107",471
"108",469
"109",456
"110",453
"111",444
"112",466
"113",472
"114",409
"115",428
"116",400
"117",417
"118",400
"119",393
"120",373
"121",384
"122",377
"123",419
"124",359
"125",363
"126",377
"127",340
"128",365
"129",334
"130",362
"131",351
"132",349
"133",368
"134",336
"135",302
"136",348
"137",335
"138",335
"139",312
"140",336
"141",318
"142",343
"143",309
"144",301
"145",310
"146",298
"147",278
"148",294
"149",284
"150",280
"151",313
"152",287
"153",273
"154",288
"155",280
"156",302
"157",267
"158",260
"159",259
"160",228
"161",271
"162",281
"163",231
"164",273
"165",248
"166",244
"167",239
"168",220
"169",219
"170",226
"171",218
"172",220
"173",236
"174",240
"175",231
"176",251
"177",212
"178",242
"179",205
"180",202
"181",220
"182",212
"183",221
"184",210
"185",212
"186",213
"187",200
"188",222
"189",208
"190",200
"191",208
"192",211
"193",197
"194",182
"195",166
"196",166
"197",195
"198",196
"199",182
"200",171
"201",191
"202",180
"203",179
"204",198
"205",176
"206",179
"207",193
"208",165
"209",181
"210",173
"211",170
"212",187
"213",149
"214",151
"215",169
"216",146
"217",180
"218",171
"219",152
"220",167
"221",167
"222",166
"223",169
"224",158
"225",136
"226",161
"227",155
"228",145
"229",162
"230",153
"231",151
"232",152
"233",125
"234",178
"235",163
"236",151
"237",139
"238",137
"239",157
"240",157
"241",162
"242",130
"243",133
"244",114
"245",130
"246",137
"247",142
"248",137
"249",144
"250",118
"251",129
"252",138
"253",121
"254",133
"255",117
"256",117
"257",124
"258",116
"259",150
"260",116
"261",144
"262",125
"263",115
"264",103
"265",108
"266",126
"267",129
"268",107
"269",138
"270",122
"271",108
"272",134
"273",109
"274",124
"275",103
"276",121
"277",103
"278",121
"279",109
"280",116
"281",122
"282",123
"283",113
"284",111
"285",88
"286",110
"287",105
"288",107
"289",81
"290",107
"291",99
"292",109
"293",99
"294",100
"295",110
"296",81
"297",108
"298",112
"299",101
"300",85
"301",106
"302",101
"303",111
"304",98
"305",71
"306",99
"307",104
"308",109
"309",108
"310",98
"311",85
"312",93
"313",102
"314",101
"315",97
"316",100
"317",84
"318",79
"319",92
"320",81
"321",74
"322",83
"323",98
"324",94
"325",77
"326",83
"327",87
"328",97
"329",93
"330",65
"331",81
"332",83
"333",88
"334",85
"335",79
"336",94
"337",77
"338",86
"339",76
"340",65
"341",84
"342",83
"343",70
"344",76
"345",73
"346",83
"347",78
"348",83
"349",85
"350",88
"351",70
"352",87
"353",77
"354",86
"355",66
"356",79
"357",69
"358",69
"359",76
"360",67
"361",70
"362",76
"363",68
"364",64
"365",68
"366",74
"367",86
"368",89
"369",53
"370",60
"371",57
"372",68
"373",77
"374",74
"375",73
"376",81
"377",75
"378",65
"379",79
"380",66
"381",78
"382",73
"383",67
"384",71
"385",76
"386",60
"387",90
"388",71
"389",66
"390",60
"391",74
"392",49
"393",65
"394",44
"395",57
"396",63
"397",68
"398",55
"399",43
"400",68
"401",57
"402",56
"403",65
"404",55
"405",60
"406",54
"407",63
"408",67
"409",54
"410",59
"411",63
"412",57
"413",59
"414",57
"415",58
"416",50
"417",75
"418",58
"419",43
"420",56
"421",49
"422",65
"423",48
"424",49
"425",55
"426",58
"427",56
"428",51
"429",54
"430",43
"431",56
"432",52
"433",58
"434",60
"435",60
"436",55
"437",56
"438",62
"439",49
"440",47
"441",41
"442",50
"443",45
"444",46
"445",49
"446",48
"447",51
"448",52
"449",43
"450",45
"451",52
"452",44
"453",56
"454",51
"455",51
"456",56
"457",55
"458",54
"459",41
"460",45
"461",56
"462",47
"463",59
"464",42
"465",51
"466",50
"467",46
"468",42
"469",53
"470",48
"471",55
"472",52
"473",50
"474",54
"475",39
"476",41
"477",50
"478",55
"479",41
"480",53
"481",40
"482",44
"483",43
"484",41
"485",43
"486",53
"487",40
"488",50
"489",38
"490",49
"491",42
"492",46
"493",35
"494",37
"495",41
"496",43
"497",39
"498",46
"499",39
"500",46
"501",38
"502",45
"503",46
"504",35
"505",40
"506",36
"507",35
"508",41
"509",47
"510",34
"511",39
"512",36
"513",41
"514",30
"515",38
"516",34
"517",28
"518",47
"519",34
"520",29
"521",38
"522",35
"523",44
"524",35
"525",29
"526",44
"527",29
"528",40
"529",48
"530",41
"531",35
"532",38
"533",38
"534",40
"535",40
"536",36
"537",38
"538",29
"539",34
"540",41
"541",33
"542",38
"543",32
"544",32
"545",38
"546",44
"547",25
"548",38
"549",25
"550",23
"551",33
"552",35
"553",35
"554",34
"555",27
"556",36
"557",32
"558",45
"559",38
"560",27
"561",36
"562",40
"563",38
"564",40
"565",36
"566",38
"567",28
"568",34
"569",30
"570",32
"571",26
"572",31
"573",33
"574",28
"575",23
"576",40
"577",35
"578",27
"579",24
"580",27
"581",35
"582",33
"583",38
"584",31
"585",44
"586",32
"587",35
"588",31
"589",27
"590",20
"591",28
"592",30
"593",32
"594",30
"595",31
"596",21
"597",44
"598",38
"599",26
"600",27
"601",40
"602",29
"603",28
"604",23
"605",24
"606",23
"607",29
"608",27
"609",21
"610",35
"611",40
"612",29
"613",33
"614",27
"615",20
"616",28
"617",26
"618",25
"619",31
"620",25
"621",40
"622",32
"623",32
"624",37
"625",28
"626",29
"627",30
"628",35
"629",34
"630",30
"631",37
"632",25
"633",28
"634",24
"635",24
"636",31
"637",25
"638",24
"639",26
"640",20
"641",25
"642",26
"643",30
"644",17
"645",21
"646",30
"647",26
"648",31
"649",30
"650",23
"651",27
"652",25
"653",26
"654",30
"655",19
"656",30
"657",23
"658",26
"659",18
"660",30
"661",24
"662",27
"663",31
"664",31
"665",19
"666",37
"667",23
"668",27
"669",24
"670",27
"671",22
"672",18
"673",23
"674",27
"675",23
"676",28
"677",23
"678",26
"679",26
"680",23
"681",31
"682",18
"683",18
"684",29
"685",22
"686",21
"687",20
"688",20
"689",26
"690",20
"691",20
"692",24
"693",21
"694",34
"695",21
"696",25
"697",28
"698",18
"699",25
"700",34
"701",22
"702",20
"703",20
"704",30
"705",23
"706",26
"707",28
"708",16
"709",20
"710",18
"711",32
"712",23
"713",30
"714",20
"715",20
"716",25
"717",24
"718",25
"719",19
"720",19
"721",25
"722",19
"723",16
"724",25
"725",18
"726",20
"727",23
"728",30
"729",20
"730",22
"731",17
"732",23
"733",23
"734",21
"735",22
"736",18
"737",26
"738",22
"739",15
"740",14
"741",17
"742",9
"743",20
"744",26
"745",22
"746",20
"747",17
"748",21
"749",17
"750",16
"751",22
"752",13
"753",16
"754",16
"755",22
"756",14
"757",21
"758",28
"759",13
"760",23
"761",20
"762",14
"763",18
"764",22
"765",11
"766",18
"767",14
"768",23
"769",17
"770",24
"771",20
"772",23
"773",24
"774",21
"775",16
"776",16
"777",28
"778",18
"779",19
"780",11
"781",15
"782",17
"783",17
"784",24
"785",21
"786",19
"787",26
"788",19
"789",21
"790",17
"791",21
"792",21
"793",17
"794",13
"795",21
"796",15
"797",14
"798",17
"799",23
"800",23
"801",14
"802",14
"803",24
"804",17
"805",14
"806",13
"807",18
"808",20
"809",17
"810",20
"811",19
"812",18
"813",17
"814",13
"815",22
"816",16
"817",17
"818",18
"819",15
"820",22
"821",13
"822",20
"823",15
"824",17
"825",21
"826",19
"827",15
"828",16
"829",15
"830",18
"831",18
"832",13
"833",18
"834",16
"835",13
"836",15
"837",20
"838",19
"839",17
"840",15
"841",12
"842",17
"843",19
"844",17
"845",16
"846",21
"847",22
"848",18
"849",16
"850",14
"851",18
"852",6
"853",15
"854",14
"855",18
"856",16
"857",25
"858",19
"859",13
"860",18
"861",23
"862",21
"863",12
"864",16
"865",11
"866",24
"867",18
"868",25
"869",6
"870",16
"871",17
"872",19
"873",20
"874",17
"875",14
"876",15
"877",25
"878",18
"879",16
"880",14
"881",10
"882",10
"883",10
"884",14
"885",19
"886",16
"887",20
"888",13
"889",26
"890",18
"891",16
"892",19
"893",17
"894",11
"895",15
"896",12
"897",23
"898",14
"899",18
"900",23
"901",19
"902",16
"903",12
"904",13
"905",8
"906",10
"907",11
"908",14
"909",19
"910",15
"911",15
"912",17
"913",16
"914",15
"915",20
