"obs_num","spp_num"
"1",20171
"2",11756
"3",7293
"4",5683
"5",4405
"6",3761
"7",3104
"8",2834
"9",2391
"10",2141
"11",1902
"12",1734
"13",1665
"14",1538
"15",1453
"16",1309
"17",1166
"18",1133
"19",979
"20",987
"21",874
"22",861
"23",866
"24",735
"25",721
"26",733
"27",667
"28",647
"29",650
"30",599
"31",604
"32",527
"33",539
"34",499
"35",482
"36",485
"37",464
"38",473
"39",423
"40",382
"41",356
"42",378
"43",376
"44",366
"45",333
"46",344
"47",332
"48",317
"49",290
"50",341
"51",296
"52",281
"53",278
"54",299
"55",274
"56",258
"57",254
"58",264
"59",233
"60",213
"61",248
"62",225
"63",233
"64",200
"65",230
"66",222
"67",172
"68",182
"69",185
"70",194
"71",176
"72",175
"73",168
"74",180
"75",161
"76",163
"77",172
"78",156
"79",149
"80",142
"81",131
"82",146
"83",155
"84",132
"85",131
"86",141
"87",135
"88",132
"89",113
"90",120
"91",132
"92",120
"93",119
"94",113
"95",111
"96",119
"97",116
"98",132
"99",125
"100",114
"101",116
"102",108
"103",103
"104",114
"105",81
"106",93
"107",107
"108",92
"109",91
"110",99
"111",95
"112",100
"113",87
"114",82
"115",90
"116",64
"117",74
"118",86
"119",72
"120",90
"121",100
"122",75
"123",70
"124",80
"125",61
"126",70
"127",65
"128",78
"129",68
"130",70
"131",81
"132",67
"133",84
"134",67
"135",65
"136",70
"137",44
"138",78
"139",68
"140",65
"141",62
"142",64
"143",66
"144",79
"145",47
"146",64
"147",61
"148",52
"149",63
"150",52
"151",57
"152",61
"153",41
"154",54
"155",76
"156",52
"157",57
"158",56
"159",55
"160",59
"161",60
"162",50
"163",56
"164",56
"165",38
"166",46
"167",52
"168",49
"169",53
"170",56
"171",31
"172",39
"173",48
"174",47
"175",50
"176",44
"177",44
"178",29
"179",51
"180",30
"181",46
"182",34
"183",37
"184",48
"185",35
"186",43
"187",42
"188",44
"189",43
"190",46
"191",40
"192",44
"193",40
"194",33
"195",29
"196",57
"197",50
"198",35
"199",29
"200",38
"201",33
"202",32
"203",30
"204",30
"205",39
"206",28
"207",30
"208",28
"209",30
"210",25
"211",28
"212",36
"213",32
"214",31
"215",36
"216",21
"217",26
"218",33
"219",41
"220",40
"221",31
"222",23
"223",35
"224",37
"225",27
"226",16
"227",24
"228",21
"229",30
"230",30
"231",31
"232",21
"233",31
"234",25
"235",22
"236",20
"237",19
"238",23
"239",21
"240",24
"241",23
"242",30
"243",23
"244",19
"245",23
"246",26
"247",25
"248",23
"249",21
"250",20
"251",19
"252",25
"253",20
"254",30
"255",24
"256",28
"257",24
"258",31
"259",18
"260",10
"261",17
"262",20
"263",19
