"obs_num","spp_num"
"1",19771
"2",11525
"3",7224
"4",5707
"5",4196
"6",3680
"7",3123
"8",2813
"9",2298
"10",2101
"11",1901
"12",1740
"13",1601
"14",1534
"15",1379
"16",1213
"17",1122
"18",1080
"19",995
"20",938
"21",897
"22",813
"23",769
"24",723
"25",758
"26",689
"27",659
"28",647
"29",608
"30",600
"31",560
"32",478
"33",523
"34",457
"35",444
"36",436
"37",449
"38",407
"39",373
"40",351
"41",332
"42",388
"43",379
"44",307
"45",327
"46",341
"47",321
"48",278
"49",270
"50",315
"51",294
"52",288
"53",286
"54",254
"55",261
"56",261
"57",208
"58",247
"59",212
"60",217
"61",214
"62",182
"63",171
"64",196
"65",204
"66",198
"67",164
"68",152
"69",194
"70",177
"71",170
"72",163
"73",179
"74",154
"75",163
"76",166
"77",145
"78",117
"79",130
"80",123
"81",139
"82",132
"83",135
"84",124
"85",143
"86",132
"87",117
"88",136
"89",129
"90",107
"91",111
"92",113
"93",117
"94",111
"95",98
"96",124
"97",118
"98",119
"99",97
"100",93
"101",81
"102",103
"103",102
"104",96
"105",65
"106",111
"107",79
"108",94
"109",87
"110",90
"111",85
"112",68
"113",70
"114",85
"115",82
"116",60
"117",89
"118",73
"119",73
"120",89
"121",64
"122",75
"123",68
"124",77
"125",67
"126",69
"127",58
"128",82
"129",69
"130",62
"131",59
"132",77
"133",72
"134",66
"135",55
"136",52
"137",60
"138",59
"139",51
"140",51
"141",71
"142",54
"143",60
"144",51
"145",60
"146",53
"147",67
"148",59
"149",67
"150",62
"151",55
"152",45
"153",47
"154",54
"155",65
"156",51
"157",48
"158",38
"159",44
"160",46
"161",47
"162",41
"163",39
"164",45
"165",56
"166",52
"167",34
"168",52
"169",61
"170",43
"171",40
"172",30
"173",48
"174",42
"175",37
"176",39
"177",36
"178",52
"179",45
"180",38
"181",36
"182",38
"183",38
"184",41
"185",37
"186",31
"187",33
"188",26
"189",34
"190",35
"191",38
"192",36
"193",27
"194",38
"195",35
"196",35
"197",27
"198",27
"199",31
"200",34
"201",27
"202",27
"203",25
"204",28
"205",29
"206",25
"207",32
"208",26
"209",25
"210",28
"211",32
"212",22
"213",28
"214",25
"215",39
"216",23
"217",30
"218",19
"219",25
"220",18
"221",24
"222",29
"223",32
"224",26
"225",14
"226",21
"227",17
"228",20
"229",21
"230",21
"231",15
"232",33
"233",22
"234",23
"235",24
"236",28
"237",30
"238",28
"239",23
"240",20
"241",22
"242",27
"243",12
"244",19
"245",18
"246",23
"247",21
"248",11
"249",24
"250",19
"251",12
"252",18
"253",9
"254",17
"255",21
"256",20
"257",18
"258",20
"259",27
"260",17
"261",23
"262",19
"263",20
"264",23
"265",20
"266",18
"267",22
"268",14
"269",21
"270",13
"271",14
"272",21
"273",18
"274",11
"275",15
"276",15
"277",20
"278",13
"279",23
"280",22
"281",18
"282",20
"283",14
"284",13
"285",19
"286",11
"287",13
"288",19
"289",6
"290",12
"291",20
"292",16
"293",7
"294",11
"295",11
"296",13
"297",9
"298",13
"299",17
"300",13
"301",21
"302",10
"303",16
"304",12
"305",15
"306",13
"307",16
"308",16
"309",12
"310",11
"311",19
"312",16
"313",11
"314",18
"315",9
"316",20
"317",8
"318",9
"319",16
"320",12
"321",11
"322",13
"323",17
"324",11
"325",9
"326",18
"327",8
"328",9
"329",17
"330",10
"331",3
"332",10
"333",19
"334",8
"335",17
"336",10
"337",16
"338",21
"339",9
"340",8
"341",11
"342",9
"343",12
"344",12
"345",13
"346",15
"347",11
"348",11
"349",12
"350",11
"351",13
"352",12
"353",8
"354",15
"355",12
"356",11
"357",8
"358",8
"359",4
